"","condition","noiseSyn","noiseRot","MemManipType","MemDegradation","mean_speed","sd_speed","sinuosity","sinuosity_redisc","sinuosity_smooth_redisc","straightness_DL_ratio","straightness_r","Emax_a","Emax_b","Emax_b_100deg","Emax_a_unrediscretised","Emax_b_unrediscretised","ESqDiffusionDistance","EDiffusionDistance","TrajExpDrift","TrajExpDriftDist","TrajNestNearest","min_deltaS","min_C","filename"
"3700","FVIce","0.1","7","Multiply","0.6",0.114160693195603,0.102679908998128,13.9099301052205,4.81503936129518,4.79234869100666,0.0892798489625324,0.793044170429718,3.81320715164229,0.0762641430328458,0.00194725278081808,1.35912997077432,0.00620636878426065,0.00490339181575817,0.0620573519134884,0.792238320833793,0.0633790656667034,10.79371156209,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.6_1100_platformReleases.csv"
"3701","FVIce","0.1","7","Multiply","0.65",0.11365734298396,0.106426750458346,17.1837157839481,4.18877804766788,4.27116086867601,0.352846766206225,0.839241835577671,5.19934966225868,0.103986993245174,0.0109015092880582,0.551429463426098,0.00250696030624325,0.00521026439020315,0.0639697747602778,0.838692757389061,0.0670954205911249,10.7959567802226,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1001_platformReleases.csv"
"3702","FVIce","0.1","7","Multiply","0.65",0.167101458952099,0.128390937994775,11.0572720112438,2.70032697738118,2.6985256431849,0.597043580235229,0.934836260196195,13.2140992938679,0.264281985877358,-0.00491346966050974,1.65216288636092,0.0110431531494968,0.00585669797893668,0.0678221190780001,0.929647318530312,0.074371785482425,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1002_platformReleases.csv"
"3703","FVIce","0.1","7","Multiply","0.65",0.163903171369845,0.113179110400104,4.21883258965883,1.12524097056805,1.13504955605422,0.991913104031057,0.987967952976341,78.4785082848064,1.56957016569613,-0.00821518479381043,16.401084782841,0.107527592392534,0.0062999754934207,0.0703419446843883,0.98741798227495,0.078993438581996,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1003_platformReleases.csv"
"3704","FVIce","0.1","7","Multiply","0.65",0.177917680472017,0.135939744632714,10.6680580596822,4.16694477645717,4.21924085031049,0.625275901178978,0.865673161055029,5.25923115902805,0.105184623180561,-0.00224066399344277,1.67744213583562,0.011937864557356,0.00522072361197443,0.0640339498738787,0.840235969148121,0.0672188775318497,10.93289333479,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1004_platformReleases.csv"
"3705","FVIce","0.1","7","Multiply","0.65",0.151382477487536,0.108703479299864,7.09427167685466,3.43589018305287,3.33768699805199,0.467039354300925,0.888534862364722,7.97074193242262,0.159414838648452,0.00496204178658949,5.80482924942326,0.0351499773267923,0.00555680919925187,0.0660629074401246,0.888526500089615,0.0710821200071692,10.8302116388695,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1005_platformReleases.csv"
"3706","FVIce","0.1","7","Multiply","0.65",0.10917341776721,0.0867185732128564,13.5541510330793,4.97334671506265,4.83793691581312,0.249882384900587,0.787465280028838,3.54298868660699,0.0708597737321398,0.00654211258002996,1.67744893470438,0.00732531333326569,0.00482432264551646,0.061554968486917,0.779880587651899,0.0623904470121519,10.7944274163899,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1006_platformReleases.csv"
"3707","FVIce","0.1","7","Multiply","0.65",0.133879665905737,0.113352516955612,15.3940351763075,3.43438946073639,3.25788831417435,0.773505894811313,0.89305043675597,7.97814645600806,0.159562929120161,0.0159345234125732,0.717550065833759,0.00384261452337852,0.00555746546786815,0.0660668083958078,0.888618435341872,0.0710894748273498,10.8557720842427,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1007_platformReleases.csv"
"3708","FVIce","0.1","7","Multiply","0.65",0.144495509332343,0.112898140695665,14.872361355114,3.59538782609767,3.64816536737365,0.746342626318078,0.879995668619855,7.23585842104864,0.144717168420973,0.0268567148253259,0.75919338933455,0.00438800141894574,0.00548617743147267,0.0656417068543404,0.878579748597393,0.0702863798877915,10.8364882276054,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1008_platformReleases.csv"
"3709","FVIce","0.1","7","Multiply","0.65",0.102056266527099,0.107808457107218,14.0531570177601,4.08421193961781,3.91544795950937,0.811773978465282,0.854582041201486,5.49492092276892,0.109898418455378,0.0415544574455166,1.42279599243133,0.00580820988069038,0.00526017108221388,0.0642754129284841,0.846033537299223,0.0676826829839378,10.8365923325517,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1009_platformReleases.csv"
"3710","FVIce","0.1","7","Multiply","0.65",0.0996163360568336,0.0899306589889644,18.8463514976878,3.68325245528902,3.49817830026134,0.725381345395665,0.874397584515364,6.87118015940695,0.137423603188139,-0.00373970728178204,0.505641938159796,0.0020148078894462,0.00544655600053723,0.0654042435906363,0.872954248314989,0.0698363398651991,11,NA,NA,"with_Pontin_Holonomic_noiseSyn0.1_noiseRot7.0_noiseSlope9.0_route_FVIcex0.65_1010_platformReleases.csv"
